ISR_M_d,ISR_frequency,ISR_sine_r[0],ISR_sine_r[1],ISR_sine_r[2],Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19
1,1,0.845671952,-0.885036409,0.0393644534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.84583956,-0.884890079,0.0390505381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.846007109,-0.88474375,0.0387366153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.846174538,-0.884597242,0.0384226888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.846341968,-0.884450674,0.0381087624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.846509218,-0.884304047,0.0377948284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.846676469,-0.88415736,0.0374808908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.846843541,-0.884010494,0.0371669494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.847010612,-0.883863628,0.036853008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.847177565,-0.883716643,0.0365390591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.847344458,-0.883569539,0.0362251066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.847511232,-0.883422375,0.035911154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.847677946,-0.883275151,0.035597194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.847844541,-0.883127809,0.035283234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.848011076,-0.882980347,0.0349692665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.848177552,-0.882832825,0.034655299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.848343909,-0.882685244,0.0343413278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.848510206,-0.882537544,0.0340273492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.848676443,-0.882389784,0.0337133706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.848842561,-0.882241905,0.0333993882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.84900856,-0.882093966,0.0330854021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.849174559,-0.881945968,0.032771416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.849340379,-0.88179785,0.0324574225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.849506199,-0.881649613,0.0321434289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.8496719,-0.881501317,0.0318294279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.849837482,-0.881352961,0.0315154269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.850003064,-0.881204486,0.0312014222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.850168467,-0.881055892,0.0308874138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.850333869,-0.880907238,0.0305734035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.850499153,-0.880758524,0.0302593894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.850664318,-0.880609691,0.0299453735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
